F  |  X  |  Y
24  |  275.5  |  0.5
28  |  276.8  |  7.2
32  |  278.4  |  23.6
36  |  280.2  |  44.8
40  |  280.6  |  68.4
44  |  280.8  |  91.7
48  |  280.9  |  113.9
52  |  280.9  |  131.9
56  |  281.0  |  144.0
60  |  281.0  |  151.0
64  |  281.0  |  157.5
68  |  281.0  |  164.7
72  |  282.5  |  176.4
76  |  282.7  |  183.2
80  |  271.4  |  182.6
84  |  271.7  |  185.3
88  |  271.8  |  189.6
92  |  271.9  |  195.8
96  |  272.0  |  199.9
100  |  274.0  |  203.0
104  |  274.0  |  210.0
108  |  276.0  |  210.0
112  |  278.0  |  210.0
116  |  278.0  |  212.0
120  |  278.0  |  214.0
124  |  278.0  |  216.0
128  |  278.5  |  218.0
132  |  278.7  |  220.0
136  |  280.4  |  221.0
140  |  282.2  |  221.5
144  |  282.6  |  225.2
148  |  256.3  |  223.6
152  |  249.1  |  222.8
156  |  246.1  |  222.4
160  |  246.0  |  222.2
164  |  249.0  |  222.6
168  |  251.5  |  222.8
172  |  252.8  |  222.9
176  |  256.4  |  223.0
180  |  256.2  |  222.5
184  |  256.1  |  222.2
188  |  257.0  |  222.6
192  |  256.5  |  222.3
196  |  257.3  |  222.7
200  |  258.6  |  222.8
204  |  258.3  |  222.4
208  |  262.2  |  222.7
212  |  260.1  |  222.4
216  |  262.0  |  222.7
220  |  263.0  |  222.8
224  |  263.5  |  222.9
228  |  264.8  |  223.0
232  |  265.4  |  223.0
236  |  274.2  |  223.0
240  |  277.1  |  223.0
244  |  276.5  |  221.5
248  |  275.3  |  220.7
252  |  274.6  |  220.4
256  |  274.3  |  220.2
260  |  275.7  |  220.6
264  |  276.8  |  220.8
268  |  277.4  |  220.9
272  |  277.7  |  220.9
292  |  276.9  |  220.5
296  |  276.4  |  220.2
300  |  276.2  |  220.1
320  |  276.6  |  221.1
324  |  276.8  |  221.5
328  |  277.4  |  221.8
332  |  278.2  |  221.9
Tempo total de execucao: 63.93
